"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
0,350,341,18811,12326,534,"7/30",23.08,3.93,35.2,15,10,1993,2011,"M Muralitharan","SL"
1,356,351,18186,11812,502,"5/15",23.52,3.89,36.2,17,6,1984,2003,"Wasim Akram","PAK"
2,262,258,12698,9919,416,"7/36",23.84,4.68,30.5,14,13,1989,2003,"Waqar Younis","PAK"
3,322,320,15775,11014,400,"8/19",27.53,4.18,39.4,9,4,1994,2008,"WPUJC Vaas","SL"
4,398,372,17670,13632,395,"7/12",34.51,4.62,44.7,4,9,1996,2015,"Shahid Afridi","PAK"
5,303,297,15712,9631,393,"6/35",24.5,3.67,39.9,12,5,1996,2008,"SM Pollock","SA"
6,250,248,12970,8391,381,"7/15",22.02,3.88,34.0,9,7,1993,2007,"GD McGrath","AUS"
7,221,217,11185,8877,380,"5/22",23.36,4.76,29.4,14,9,2000,2012,"B Lee","AUS"
8,226,220,10936,9760,338,"6/38",28.87,5.35,32.3,11,8,2004,2019,"SL Malinga","SL"
9,271,265,14496,10412,337,"6/12",30.89,4.3,43.0,8,2,1990,2007,"A Kumble","INDIA"
10,445,368,14874,11871,323,"6/29",36.75,4.78,46.0,8,4,1989,2011,"ST Jayasuriya","SL"
11,229,227,11935,8847,315,"5/23",28.08,4.44,37.8,7,3,1991,2003,"J Srinath","INDIA"
12,295,277,14060,9674,305,"5/7",31.71,4.12,46.0,8,2,1997,2015,"DL Vettori","NZ"
13,194,191,10642,7541,293,"5/33",25.73,4.25,36.3,12,1,1993,2005,"SK Warne","AUS"
14,191,188,9484,8021,288,"6/42",27.85,5.07,32.9,10,2,1998,2007,"AB Agarkar","INDIA"
15,169,165,8770,6275,288,"5/20",21.78,4.29,30.4,11,6,1995,2003,"Saqlain Mushtaq","PAK"
16,200,197,10097,8301,282,"5/42",29.43,4.93,35.8,7,1,2000,2012,"Z Khan","INDIA"
17,328,283,10750,8680,273,"5/30",31.79,4.84,39.3,2,2,1996,2014,"JH Kallis","SA"
18,164,162,8561,5926,272,"6/23",21.78,4.15,31.4,11,2,1991,2003,"AA Donald","SA"
19,265,254,10941,8564,269,"6/35",31.83,4.69,40.6,8,3,1996,2011,"Abdul Razzaq","PAK"
20,194,191,9584,7861,269,"5/23",29.22,4.92,35.6,11,2,2002,2015,"JM Anderson","ENG"
21,236,227,12479,8973,269,"5/31",33.35,4.31,46.3,2,3,1998,2015,"Harbhajan Singh","INDIA"
22,217,217,10789,8759,266,"6/26",32.92,4.87,40.5,7,1,2001,2019,"Mashrafe Mortaza","BDESH"
23,173,171,8687,6559,266,"6/22",24.65,4.53,32.6,8,4,1998,2009,"M Ntini","SA"
24,206,203,10517,7857,260,"5/29",30.21,4.48,40.4,8,2,2006,2019,"Shakib Al Hasan","BDESH"
25,225,221,11202,6945,253,"5/43",27.45,3.71,44.2,3,1,1978,1994,"N Kapil Dev","INDIA"
26,163,162,7764,6169,247,"6/16",24.97,4.76,31.4,6,4,1998,2011,"Shoaib Akhtar","PAK"
27,170,169,8230,6485,240,"5/25",27.02,4.72,34.2,8,1,2001,2015,"KD Mills","NZ"
28,153,150,7489,6038,239,"6/31",25.26,4.83,31.3,9,3,2005,2015,"MG Johnson","AUS"
29,189,185,9468,7129,239,"5/32",29.82,4.51,39.6,7,1,1993,2005,"HH Streak","ZIM"
30,159,156,8470,6209,235,"5/44",26.42,4.39,36.0,10,2,1994,2006,"D Gough","ENG"
31,205,204,10822,6918,227,"5/1",30.47,3.83,47.6,6,1,1985,2000,"CA Walsh","WI"
32,176,175,9353,5429,225,"5/17",24.12,3.48,41.5,6,4,1988,2000,"CEL Ambrose","WI"
33,153,152,7965,6065,207,"5/29",29.29,4.56,38.4,5,4,2004,2014,"Abdur Razzak","BDESH"
34,250,232,10667,7613,203,"5/42",37.5,4.28,52.5,2,1,1990,2004,"CZ Harris","NZ"
35,138,138,7461,5018,203,"5/44",24.71,4.03,36.7,4,1,1985,1996,"CJ McDermott","AUS"
36,215,186,8168,6594,201,"5/42",32.8,4.84,40.6,3,1,1991,2006,"CL Cairns","NZ"
37,164,150,6511,5874,199,"6/43",29.51,5.41,32.7,6,1,2004,2014,"DJ Bravo","WI"
38,184,181,8263,6751,199,"5/22",33.92,4.9,41.5,4,1,2003,2017,"KMDN Kulasekara","SL"
39,161,160,8129,6332,196,"5/27",32.3,4.67,41.4,3,1,1994,2001,"BKV Prasad","INDIA"
40,125,124,6256,5087,196,"6/39",25.95,4.87,31.9,4,3,2005,2019,"DW Steyn","SA"
