,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,start,end,name,country
0,79,79,284.5,1,2061,106,5/6,19.44,7.23,16.1,1,2,2006,2019,SL Malinga ,SL
1,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0,2006,2018,Shahid Afridi ,PAK
2,76,75,277.5,2,1894,92,5/20,20.58,6.81,18.1,3,1,2006,2019,Shakib Al Hasan ,BDESH
3,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0,2009,2015,Saeed Ajmal ,PAK
4,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2,2007,2016,Umar Gul ,PAK
5,45,45,171.0,1,1052,84,5/3,12.52,6.15,12.2,3,2,2015,2019,Rashid Khan ,AFG
6,73,69,221.2,1,1539,75,4/20,20.52,6.95,17.7,1,0,2010,2019,GH Dockrell ,IRE
7,66,64,233.3,2,1954,75,5/18,26.05,8.36,18.6,0,1,2008,2019,TG Southee ,NZ
8,75,75,256.4,5,1839,69,4/10,26.65,7.16,22.3,3,0,2010,2019,Mohammad Nabi ,AFG
9,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0,2008,2017,KMDN Kulasekara ,SL
10,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2,2008,2014,BAW Mendis ,SL
11,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0,2006,2014,SCJ Broad ,ENG
12,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2,2013,2019,Imran Tahir ,SA
13,44,44,157.1,3,1068,61,4/9,17.5,6.79,15.4,2,0,2007,2019,DW Steyn ,SA
14,48,48,175.4,5,1224,59,4/13,20.74,6.96,17.8,1,0,2009,2019,Mohammad Amir ,PAK
15,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0,2007,2016,NL McCullum ,NZ
16,90,51,150.3,0,1134,58,4/45,19.55,7.53,15.5,1,0,2008,2019,KJ O'Brien ,IRE
17,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0,2012,2018,S Badree ,WI
18,43,43,151.3,0,1300,54,4/6,24.07,8.58,16.8,2,0,2014,2019,CJ Jordan ,ENG
19,89,67,186.1,2,1226,54,4/10,22.7,6.58,20.6,1,0,2006,2018,Mohammad Hafeez ,PAK
20,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0,2007,2017,Sohail Tanvir ,PAK
21,43,42,149.1,1,938,54,4/35,17.37,6.28,16.5,1,0,2009,2019,RE van der Merwe ,NL
22,48,47,170.0,2,1138,53,3/16,21.47,6.69,19.2,0,0,2009,2019,WB Rankin ,ENG
23,69,58,172.3,3,1190,53,4/19,22.45,6.89,19.5,1,0,2008,2019,PM Seelaar ,NL
24,46,46,171.0,2,1193,52,4/8,22.94,6.97,19.7,2,0,2010,2017,R Ashwin ,INDIA
25,66,56,173.4,0,1470,52,4/28,28.26,8.46,20.0,2,0,2006,2016,DJ Bravo ,WI
26,36,36,140.3,1,1139,52,6/25,21.9,8.1,16.2,2,1,2016,2019,YS Chahal ,INDIA
27,37,37,135.1,3,1065,52,5/22,20.48,7.87,15.5,1,1,2015,2019,Mustafizur Rahman ,BDESH
28,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0,2012,2019,SP Narine ,WI
29,42,42,153.1,5,1029,51,3/11,20.17,6.71,18.0,0,0,2016,2019,JJ Bumrah ,INDIA
30,79,64,175.4,1,1628,51,3/24,31.92,9.26,20.6,0,0,2010,2019,NLTC Perera ,SL
31,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0,2008,2012,GP Swann ,ENG
32,39,38,128.5,1,928,49,4/11,18.93,7.2,15.7,1,0,2015,2019,MJ Santner ,NZ
33,42,41,143.5,0,1185,49,4/24,24.18,8.23,17.6,1,0,2012,2019,SM Sharif ,SCOT
34,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0,2006,2016,SR Watson ,AUS
35,44,44,158.4,3,1191,47,4/17,25.34,7.5,20.2,2,0,2007,2017,M Morkel ,SA
36,40,39,138.3,0,1131,47,3/18,24.06,8.16,17.6,0,0,2014,2019,IS Sodhi ,NZ
37,41,39,136.1,2,945,47,4/11,20.1,6.94,17.3,2,0,2013,2019,PA van Meekeren ,NL
38,38,36,135.3,1,948,46,4/14,20.6,6.99,17.6,1,0,2017,2019,Shadab Khan ,PAK
39,32,31,111.0,2,778,45,4/19,17.28,7.0,14.8,3,0,2015,2019,Bilal Khan ,OMAN
40,35,33,125.0,2,903,45,5/27,20.06,7.22,16.6,0,1,2015,2019,MRJ Watt ,SCOT
41,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0,2006,2014,Abdur Razzak ,BDESH
42,31,29,95.5,1,730,44,5/19,16.59,7.61,13.0,1,1,2012,2017,Ahsan Malik ,NL
43,68,59,152.4,0,1116,44,5/26,25.36,7.31,20.8,1,1,2007,2017,DJG Sammy ,WI
44,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0,2008,2016,Mudassar Bukhari ,NL
45,42,42,149.3,1,1228,43,3/26,28.55,8.21,20.8,0,0,2005,2014,KD Mills ,NZ
46,41,40,147.0,3,877,42,5/14,20.88,5.96,21.0,1,1,2015,2019,Imad Wasim ,PAK
47,54,53,189.5,1,1527,42,4/19,36.35,8.04,27.1,1,0,2006,2017,Mashrafe Mortaza ,BDESH
48,43,43,154.2,2,1088,41,5/24,26.53,7.04,22.5,0,1,2012,2019,B Kumar ,INDIA
49,40,39,124.5,3,1038,41,4/13,25.31,8.31,18.2,1,0,2009,2017,WD Parnell ,SA
50,24,24,86.5,2,724,41,4/28,17.65,8.33,12.7,1,0,2016,2019,KOK Williams ,WI
51,28,26,91.2,0,673,40,3/20,16.82,7.36,13.7,0,0,2013,2019,Al-Amin Hossain ,BDESH
52,34,34,123.3,2,980,40,4/44,24.5,7.93,18.5,1,0,2012,2019,Dawlat Zadran ,AFG
53,39,38,118.5,0,847,40,3/9,21.17,7.12,17.8,0,0,2012,2019,T van der Gugten ,NL
54,27,27,98.5,1,854,39,4/34,21.89,8.64,15.2,1,0,2013,2019,TA Boult ,NZ
55,34,33,117.0,1,1020,39,4/22,26.15,8.71,18.0,1,0,2011,2014,JW Dernbach ,ENG
56,40,38,133.0,1,1000,39,3/11,25.64,7.51,20.4,0,0,2009,2019,AU Rashid ,ENG
57,38,36,113.5,2,774,39,4/18,19.84,6.79,17.5,1,0,2014,2019,Rohan Mustafa ,UAE
58,28,28,106.3,1,718,39,3/11,18.41,6.74,16.3,0,0,2012,2019,MA Starc ,AUS
59,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0,2007,2013,MG Johnson ,AUS
60,40,39,116.5,1,976,38,4/38,25.68,8.35,18.4,1,0,2016,2019,HH Pandya ,INDIA
61,34,34,131.1,1,748,38,4/20,19.68,5.7,20.7,1,0,2007,2014,DL Vettori ,NZ
62,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0,2006,2012,J Botha ,SA
63,19,19,71.3,1,499,37,5/24,13.48,6.97,11.5,1,1,2017,2019,Kuldeep Yadav ,INDIA
64,72,57,161.3,4,1101,37,3/16,29.75,6.81,26.1,0,0,2009,2018,AD Mathews ,SL
65,31,31,114.4,5,729,37,3/14,19.7,6.35,18.5,0,0,2015,2019,Mohammad Naveed ,UAE
66,26,25,91.5,1,815,37,4/23,22.02,8.87,14.8,1,0,2016,2018,AJ Tye ,AUS
67,27,25,93.0,4,689,36,5/24,19.13,7.4,15.5,0,1,2015,2019,AC Evans ,SCOT
68,24,24,85.5,0,684,36,5/27,19.0,7.96,14.3,0,1,2012,2017,JP Faulkner ,AUS
69,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0,2008,2018,AG Cremer ,ZIM
70,37,33,101.0,3,714,35,4/11,20.4,7.06,17.3,3,0,2008,2015,AR Cusack ,IRE
71,30,30,103.3,3,877,35,3/23,25.05,8.47,17.7,0,0,2016,2019,Hasan Ali ,PAK
72,46,46,152.1,4,1093,35,3/48,31.22,7.18,26.0,0,0,2009,2019,RA Jadeja ,INDIA
73,28,28,94.0,0,637,35,4/14,18.2,6.77,16.1,2,0,2010,2019,SO Ngoche ,KENYA
74,34,34,107.5,3,843,35,3/40,24.08,7.81,18.4,0,0,2010,2018,Shapoor Zadran ,AFG
75,25,25,81.4,3,505,35,5/17,14.42,6.18,14.0,1,1,2015,2019,N Vanua ,PNG
76,30,30,99.2,2,692,34,3/10,20.35,6.96,17.5,0,0,2014,2019,Aizaz Khan ,HKG
77,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0,2013,2019,NM Coulter-Nile ,AUS
78,23,23,83.0,3,697,34,4/27,20.5,8.39,14.6,1,0,2012,2019,CH Morris ,SA
79,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0,2009,2017,A Nehra ,INDIA
80,28,28,92.5,0,761,34,4/7,22.38,8.19,16.3,1,0,2015,2019,DJ Willey ,ENG
81,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0,2014,2017,Amjad Javed ,UAE
82,25,25,82.3,0,631,33,4/17,19.12,7.64,15.0,2,0,2015,2019,Karan KC ,NEPAL
83,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0,2006,2018,JE Taylor ,WI
84,25,25,95.0,3,644,32,3/15,20.12,6.77,17.8,0,0,2011,2019,PJ Cummins ,AUS
85,22,22,79.4,2,523,32,4/22,16.34,6.56,14.9,1,0,2010,2016,Hamid Hassan ,AFG
86,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0,2008,2013,DT Johnston ,IRE
87,38,37,123.0,0,890,32,3/15,27.81,7.23,23.0,0,0,2006,2019,SC Williams ,ZIM
