,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,start,end,name,country
0,404,397,501,402,99,383,19,5 (4ct 1st),1.261,2000,2015,KC Sangakkara ,SL
1,287,286,472,417,55,417,0,6 (6ct 0st),1.65,1996,2008,AC Gilchrist ,AUS
2,350,345,444,321,123,321,0,6 (5ct 1st),1.286,2004,2019,MS Dhoni ,INDIA
3,295,291,425,403,22,402,1,6 (6ct 0st),1.46,1998,2011,MV Boucher ,SA
4,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,1990,2004,Moin Khan ,PAK
5,260,257,277,262,15,227,35,5 (5ct 0st),1.077,2002,2016,BB McCullum ,NZ
6,168,168,233,194,39,194,0,4 (4ct 0st),1.386,1988,1997,IA Healy ,AUS
7,216,215,225,181,44,179,2,5 (5ct 0st),1.046,2006,2019,Mushfiqur Rahim ,BDESH
8,166,164,220,182,38,182,0,5 (5ct 0st),1.341,1992,2003,Rashid Latif ,PAK
9,448,443,218,218,0,0,218,4 (4ct 0st),0.492,1998,2015,DPMD Jayawardene ,SL
10,344,341,210,196,14,72,124,4 (4ct 0st),0.615,1996,2011,R Dravid ,INDIA
11,189,188,207,132,75,131,1,5 (4ct 1st),1.101,1990,2004,RS Kaluwitharana ,SL
12,169,168,204,183,21,183,0,4 (4ct 0st),1.214,1981,1991,PJL Dujon ,WI
13,142,138,202,171,31,171,0,6 (6ct 0st),1.463,2012,2019,JC Buttler ,ENG
14,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,1996,2004,RD Jacobs ,WI
15,157,154,188,157,31,156,1,5 (4ct 1st),1.22,2002,2017,Kamran Akmal ,PAK
16,139,137,188,181,7,181,0,5 (5ct 0st),1.372,2005,2016,D Ramdin ,WI
17,228,223,181,176,5,93,83,5 (5ct 0st),0.8109999999999999,2005,2018,AB de Villiers ,SA
18,126,124,181,170,11,170,0,5 (5ct 0st),1.459,2001,2015,BJ Haddin ,AUS
19,170,169,174,159,15,148,11,6 (6ct 0st),1.029,1989,2003,AJ Stewart ,ENG
20,213,212,173,141,32,133,8,5 (5ct 0st),0.816,1992,2003,A Flower ,ZIM
21,115,111,166,158,8,158,0,6 (5ct 1st),1.495,2013,2019,Q de Kock ,SA
