,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,start,end,name,country
0,98,97,91,57,34,57,0,5 (5ct 0st),0.938,2006,2019,MS Dhoni ,INDIA
1,78,78,72,65,7,21,44,4 (4ct 0st),0.9229999999999999,2006,2017,AB de Villiers ,SA
2,71,71,63,43,20,43,0,4 (4ct 0st),0.887,2006,2019,D Ramdin ,WI
3,58,58,60,28,32,28,0,4 (0ct 4st),1.034,2006,2017,Kamran Akmal ,PAK
4,84,82,59,31,28,30,1,3 (1ct 2st),0.7190000000000001,2006,2019,Mushfiqur Rahim ,BDESH
5,65,65,54,26,28,26,0,5 (3ct 2st),0.83,2010,2018,Mohammad Shahzad ,AFG
6,72,72,52,51,1,1,50,4 (4ct 0st),0.722,2010,2019,DA Miller ,SA
7,84,84,52,50,2,11,39,3 (3ct 0st),0.619,2009,2019,Umar Akmal ,PAK
8,111,111,50,50,0,0,50,3 (3ct 0st),0.45,2006,2019,Shoaib Malik ,PAK
9,38,38,46,36,10,36,0,4 (3ct 1st),1.21,2012,2019,Q de Kock ,SA
10,83,82,46,46,0,0,46,3 (3ct 0st),0.56,2009,2019,MJ Guptill ,NZ
11,78,76,46,39,7,28,11,4 (3ct 1st),0.605,2008,2019,GC Wilson ,IRE
12,56,56,45,25,20,25,0,3 (2ct 1st),0.8029999999999999,2006,2014,KC Sangakkara ,SL
13,58,58,45,35,10,35,0,3 (3ct 0st),0.775,2010,2019,Sarfaraz Ahmed ,PAK
14,71,71,44,36,8,24,12,3 (3ct 0st),0.619,2005,2015,BB McCullum ,NZ
15,95,95,44,44,0,0,44,3 (3ct 0st),0.46299999999999997,2006,2019,LRPL Taylor ,NZ
16,76,76,43,43,0,0,43,3 (3ct 0st),0.565,2009,2019,DA Warner ,AUS
17,78,78,42,42,0,0,42,3 (3ct 0st),0.5379999999999999,2006,2018,SK Raina ,INDIA
18,75,75,41,41,0,0,41,3 (3ct 0st),0.546,2010,2019,Mohammad Nabi ,AFG
19,104,104,38,38,0,0,38,3 (3ct 0st),0.365,2007,2019,RG Sharma ,INDIA
20,54,54,37,32,5,15,17,4 (4ct 0st),0.685,2010,2018,LD Chandimal ,SL
21,75,75,37,37,0,0,37,3 (3ct 0st),0.493,2010,2019,V Kohli ,INDIA
22,86,86,37,37,0,0,37,3 (3ct 0st),0.43,2009,2019,EJG Morgan ,ENG
23,73,70,36,36,0,0,36,3 (3ct 0st),0.514,2010,2019,GH Dockrell ,IRE
24,66,66,35,35,0,0,35,3 (3ct 0st),0.53,2006,2016,DJ Bravo ,WI
25,81,81,35,35,0,0,35,2 (2ct 0st),0.43200000000000005,2007,2019,JP Duminy ,SA
26,90,86,34,34,0,0,34,2 (2ct 0st),0.395,2008,2019,KJ O'Brien ,IRE
27,68,68,34,34,0,0,34,2 (2ct 0st),0.5,2008,2019,KA Pollard ,WI
28,43,41,33,22,11,22,0,3 (2ct 1st),0.804,2013,2019,MH Cross ,SCOT
29,80,80,33,31,2,5,26,2 (2ct 0st),0.41200000000000003,2006,2016,TM Dilshan ,SL
30,60,59,32,32,0,0,32,2 (2ct 0st),0.542,2011,2019,AD Hales ,ENG
31,51,50,31,31,0,0,31,2 (2ct 0st),0.62,2013,2019,BN Cooper ,NL
32,83,81,31,31,0,0,31,2 (2ct 0st),0.382,2007,2019,Mahmudullah ,BDESH
33,68,68,31,31,0,0,31,4 (4ct 0st),0.455,2007,2017,DJG Sammy ,WI
34,34,34,30,30,0,8,22,2 (2ct 0st),0.882,2011,2019,JM Bairstow ,ENG
35,61,60,30,30,0,0,30,2 (2ct 0st),0.5,2012,2019,GJ Maxwell ,AUS
36,79,79,30,30,0,0,30,2 (2ct 0st),0.379,2010,2019,NLTC Perera ,SL
37,33,33,30,24,6,24,0,3 (3ct 0st),0.909,2008,2018,L Ronchi ,AUS
38,99,99,30,30,0,0,30,3 (3ct 0st),0.303,2006,2018,Shahid Afridi ,PAK
39,66,65,29,29,0,0,29,2 (2ct 0st),0.446,2008,2019,TG Southee ,NZ
40,43,41,28,28,0,0,28,4 (4ct 0st),0.682,2008,2017,PW Borren ,NL
41,29,28,28,24,4,24,0,3 (3ct 0st),1.0,2018,2019,SA Edwards ,NL
42,69,67,28,28,0,0,28,2 (2ct 0st),0.41700000000000004,2008,2019,PM Seelaar ,NL
43,42,40,27,26,1,26,0,4 (4ct 0st),0.675,2012,2019,W Barresi ,NL
44,66,65,27,23,4,21,2,3 (3ct 0st),0.415,2011,2018,JC Buttler ,ENG
45,49,49,27,27,0,0,27,4 (4ct 0st),0.551,2009,2019,CS MacLeod ,SCOT
46,57,57,27,27,0,0,27,2 (2ct 0st),0.473,2012,2019,Najibullah Zadran ,AFG
47,30,28,27,17,10,15,2,4 (3ct 1st),0.9640000000000001,2008,2016,NJ O'Brien ,IRE
48,57,56,27,27,0,0,27,3 (3ct 0st),0.48200000000000004,2011,2019,KS Williamson ,NZ
49,63,63,26,26,0,0,26,3 (3ct 0st),0.41200000000000003,2007,2016,NL McCullum ,NZ
50,66,66,25,25,0,0,25,3 (3ct 0st),0.37799999999999995,2006,2019,H Masakadza ,ZIM
51,89,89,25,25,0,0,25,2 (2ct 0st),0.28,2006,2018,Mohammad Hafeez ,PAK
52,44,43,25,25,0,0,25,3 (3ct 0st),0.581,2014,2019,Sabbir Rahman ,BDESH
53,58,57,24,24,0,0,24,3 (3ct 0st),0.42100000000000004,2011,2019,AJ Finch ,AUS
54,39,39,24,24,0,0,24,2 (2ct 0st),0.615,2008,2012,DJ Hussey ,AUS
55,34,34,23,17,6,17,0,3 (3ct 0st),0.6759999999999999,2006,2014,BJ Haddin ,AUS
56,43,43,23,23,0,0,23,3 (3ct 0st),0.534,2014,2019,CJ Jordan ,ENG
57,72,72,23,23,0,0,23,2 (2ct 0st),0.319,2009,2018,AD Mathews ,SL
58,40,40,23,23,0,0,23,2 (2ct 0st),0.575,2016,2019,HH Pandya ,INDIA
59,46,45,23,23,0,0,23,2 (2ct 0st),0.511,2015,2019,Soumya Sarkar ,BDESH
60,41,39,23,23,0,0,23,3 (3ct 0st),0.589,2014,2019,SR Thompson ,IRE
61,47,47,23,23,0,0,23,2 (2ct 0st),0.489,2007,2014,CL White ,AUS
